"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",13.000948217,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",13.448567435,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2019",15.311653117,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38215397,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.876690892,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2019",14.011740808,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2020",12.381539673,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2017",4.1902961563,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2018",3.4087569791,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2019",3.798185941,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2017",18.17322239,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2018",18.518518519,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2019",17.607142857,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2020",16.112531969,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2021",16.666666667,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2017",15.614010894,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.127413864,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2019",14.714332257,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2020",12.372862094,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2021",11.518748314,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2017",5.2966919656,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2018",4.8632060095,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2019",5.0592156283,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2020",4.994399736,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2017",17.717920638,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2018",18.855203722,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2019",17.159829635,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2020",15.978604956,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2018",11.823802164,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2017",14.427860697,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2018",15.444390481,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2019",13.987217306,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2020",14.202617547,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2018",5.9090909091,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2019",5.9090909091,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2017",5.3202686547,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2018",5.0632142857,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2019",12.753673197,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2020",12.350016442,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2018",12.901247189,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2018",8.2840236686,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2018",5.7080610022,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2019",7.6401524596,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2017",24.518092661,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2018",23.537368955,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2019",23.480013436,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2020",22.518568535,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2021",22.113766409,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2017",34.617382557,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.107310951,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2019",32.480444715,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2020",31.48475223,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2021",31.064839435,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2017",11.111111111,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2021",12.5,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2018",12.657091562,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2019",13.398029651,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2020",13.329084582,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2017",7.1508379888,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2018",7.8696925329,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2019",6.5084501978,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2020",4.5814674475,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2021",6.6666666667,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2017",5.4947613504,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2018",5.1293690422,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2019",4.3678665496,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2020",4.8138639281,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2021",4.6014790468,
"POL","WAGEGAP","EMPLOYEE","PC","A","2018",11.497909952,
"POL","WAGEGAP","EMPLOYEE","PC","A","2020",8.6906141367,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2018",11.665004985,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2019",11.419037351,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2020",11.716807546,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2017",15.040042332,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2018",15.662080133,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2019",13.869849949,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2020",11.014467821,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2021",11.700371359,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2018",8.6216072379,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2020",8.0937131267,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2017",7.3482428115,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2018",7.1428571429,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2019",7.5757575758,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2020",7.4183976261,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2018",15.095647352,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2020",13.802546899,
"TUR","WAGEGAP","EMPLOYEE","PC","A","2018",9.980806142,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2017",16.534100525,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2018",16.310424203,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2019",16.099809282,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2020",11.983805668,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2021",14.349294045,
"USA","WAGEGAP","EMPLOYEE","PC","A","2017",18.172157279,
"USA","WAGEGAP","EMPLOYEE","PC","A","2018",18.910585817,
"USA","WAGEGAP","EMPLOYEE","PC","A","2019",18.470705065,
"USA","WAGEGAP","EMPLOYEE","PC","A","2020",17.652495379,
"USA","WAGEGAP","EMPLOYEE","PC","A","2021",16.864175023,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2018",3.0303030303,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2019",3.3577967679,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2020",2.5546878995,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2017",12.5,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2020",8.5964583333,
"COL","WAGEGAP","EMPLOYEE","PC","A","2017",7.6923076923,
"COL","WAGEGAP","EMPLOYEE","PC","A","2018",5.7879259259,
"COL","WAGEGAP","EMPLOYEE","PC","A","2019",4,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2017",2.967032967,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2018",4.7252747253,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2018",7.9150579151,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2019",7.5748522944,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2018",15.871047737,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2019",16.841770255,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2020",16.582113452,
"EST","WAGEGAP","EMPLOYEE","PC","A","2018",22.68115942,
"EST","WAGEGAP","EMPLOYEE","PC","A","2020",19.601682014,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2017",21.791789941,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2018",22.659192432,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2019",24.318869828,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2018",20.289855072,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2019",19.759401058,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2018",11.689814815,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2020",9.3279890493,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2018",11.09375,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2018",3.4965034965,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2019",5.8553973107,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2020",3.3041813915,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2018",8.1945369753,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2017",12.7698717712582,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2018",12.7967891857429,
