State Name,Adverse Childhood Experiences,Air Pollution,Arthritis,Asthma,Avoided Care Due to Cost,Behaviors,Binge Drinking,Cancer,Cannabis Use,Cardiovascular Diseases,Childhood Immunizations,Chlamydia,Chronic Kidney Disease,Chronic Obstructive Pulmonary Disease,Climate Change Policies,Clinical Care,Colorectal Cancer Screening,Crowded Housing,Dedicated Health Care Provider,Dental Care Providers,Dental Visit,Dependency,Depression,Diabetes,Discrimination,Domestic violence,Drinking Water Violations,Drive Alone to Work,Drug Deaths,E-cigarette Use,Economic Hardship Index,Excessive Drinking,Exercise,Flu Vaccination,Food Insecurity,Fourth Grade Reading Proficiency,Frequent Mental Distress,Frequent Physical Distress,Fruit and Vegetable Consumption,HPV Vaccination,Health Outcomes,Heavy Drinking,High Blood Pressure,High Cholesterol,High Health Status,High School Graduation,High School Graduation Racial Disparity,High-risk HIV Behaviors,High-speed Internet,Homeownership,Homeownership Racial Disparity,Housing With Lead Risk,Illicit Drug Use (excluding opioids and cannabis),Illicit Opioid Use,Income Inequality,Insufficient Sleep,Low Birthweight,Low Birthweight Racial Disparity,Mental Health Providers,Mental illness,Multiple Chronic Conditions,Neighborhood violence,Non-medical Use of Prescription Drugs (excluding opioids and cannabis),Non-medical Use of Prescription Opioids,Non-smoking Regulation,Obesity,Occupational Fatalities,Parent or guardian death,Parent or guardian divorce or separation,Parent or guardian time in jail,Per Capita Income,Physical Environment,Physical Inactivity,Population-Children (Under age 18),Poverty,Premature Death,Premature Death (three-year estimate),Premature Death Racial Disparity,Preventable Hospitalizations,Primary Care Providers,Public Health Funding,Risk-screening Environmental Indicator Score,Rural Population,Severe Housing Problems,Smoking,Social and Economic Factors,Substance misuse,Suicide,Teen Births,Total Population,Transportation Energy Use,Unemployment,Uninsured,Violent Crime,Volunteerism,Voter Participation (Average),Voter Participation (Midterm),Voter Participation (Presidential),Water Fluoridation
Maine,18.2,5,29,10.6,9.4,0.587,14.4,8.1,30,9.5,78.4,296.8,3.3,8.3,4,0.914,81.2,1.5,86.2,60.4,66.7,39.6,22.1,10.3,1.5,7.1,0,78.5,28.5,4.3,29,17,20.2,53.6,11.4,36,12.6,9.1,9.2,63.5,0.294,8.1,36.2,34.9,60.7,87.4,9.8,4.7,88.5,72.2,43.2,24,4.8,0.9,4.35,30.5,7.4,1.9,523.3,14.4,11.6,4.1,4.5,2.7,100,31,3.5,2.7,28.7,6.7,34078,0.364,21.5,18.4,10.9,7520,7433,1.1,3195,344.1,151,137125,60.9,13.9,16.5,0.372,12.9,19.8,9.1,1350141,7.9,3.5,8,115,38.5,68.5,65.6,71.3,79.3
Massachusetts,10.8,7,23.8,10.7,8.3,0.68,15.8,7,22.9,7.3,92.3,458.8,2.6,4.5,4,1.587,81.1,2.1,87.3,88.1,73.3,36.6,17.9,8.8,3.5,4,0,69.6,31.4,,9,18.5,22.2,56.5,8.4,45.4,12.9,7.7,8.8,73.4,0.819,7,28.1,30.7,62.3,88,18.3,5.5,92,62.2,45.8,30.8,3.1,0.7,5.34,31.1,7.6,1.8,693.6,8.5,8.3,2.8,4.1,3.2,100,24.4,3.7,2.8,21,2.3,46241,-0.037,19.9,19.5,10.3,5852,5985,1.1,4310,373.3,185,3204953,7.8,17.4,11.1,0.505,5.7,9.1,6.9,6893574,7,4,3,328,33.6,60.9,55.5,66.3,57.3
Rhode Island,13.6,7,24.2,12.1,8.3,0.271,15.1,6.8,25.4,8,78.1,539.8,2.7,6.9,4,1.315,80.8,1.9,86.6,54.3,74.2,36.9,21.1,10.3,3.7,4.6,0,79.6,28.8,4.6,31,16.8,24.1,55.1,8.2,35.4,13.3,9.6,10.4,83,0.394,5.8,33,32.5,58,83.9,18.2,6.4,91.2,61.7,38.6,31.4,6.1,,4.81,32.5,7.8,2,455.1,7.9,10.1,3.4,3.8,2.2,100,30.1,4.1,2.7,25.6,3.5,37525,-0.109,23.5,19.1,11.9,6502,6416,1.1,3784,352.2,206,34967,9.2,17.4,13.5,0.277,7.9,11.3,10,1057125,5.6,4.4,4.1,221,28.3,59,51.6,66.3,83.2
District of Columbia,17.5,8.7,16.3,10.4,7,,22.7,5,28.2,6,72,1321.6,2.5,4.3,3,,78.6,2.7,76.8,103.7,67.9,30.5,19.8,7.5,8.2,7.7,,33,49.4,,,24.4,27.2,55.7,10.3,30.1,14.5,6.7,10.4,72.3,,8.7,27.2,28.2,64.2,68.9,33,11.3,89.2,41.5,15.3,33.9,13.1,3.6,6.27,30.1,9.9,2.4,589.6,5.3,6.5,8.9,6,7.2,,24.3,6.3,4.5,21,7.4,59808,,18.1,18.2,12.6,8566,8672,5,4640,494,874,36922,0,20.5,11.3,,7.3,6.5,16.8,712816,3.1,6.4,3.5,1049,40.7,72.6,61.1,84,100
Michigan,15.5,7.9,30.1,11,7.9,-0.094,17.4,7.6,27.8,10,74.9,501.7,3.2,8.3,3,0.618,78.2,1.6,85.5,69.8,69.2,39.1,19.5,12.3,5.4,5.8,0.1,81.8,24.2,,46,18.8,23.3,46.7,11.8,31.6,15.8,11.3,6.5,61.3,-0.47,6.8,35.1,35,54.4,81.4,14.7,5.2,89.4,71.6,35.1,22.3,6.1,0.9,4.49,34.2,8.7,2.1,305.5,9.3,12,6.2,4.3,4.9,100,35.2,4,3.2,23.4,8.8,32892,0.013,20.8,21.3,12.6,7843,8008,1.7,4397,290.7,83,8479767,25.2,14.2,18.4,-0.185,8.5,14.7,15.1,9966555,7.8,5.1,5.8,437,34.5,63.2,59.5,66.9,89.5
New Hampshire,14.5,4.3,25,11.5,9,0.919,16,7.6,20.8,7.7,84.6,263.1,2,6.6,4,1.098,77.8,1.5,87.9,63.6,69.7,37.4,21.5,8.8,1.1,4,0.2,80.4,30.5,5.5,1,18.4,26.4,52.9,5.7,38.2,13.7,10.2,9.1,68.8,0.523,8.2,31.5,32.5,62.1,88.4,13.5,5.6,92.4,71,38.9,21.7,3.3,2.5,4.22,30.1,6.4,1.5,352.3,10.5,9,3.5,2.4,2.4,0,29.9,3.1,2.6,23.2,6.4,41241,0.13,19.3,18.5,8.1,6655,6748,,3437,312.9,119,75697,39.4,14.3,13.9,0.891,9.7,18.2,6.6,1366275,7.6,3,6.3,153,36.7,65.1,56.2,74,46.7
Vermont,18.8,4.9,25.9,10.8,7.7,1.179,17.6,7,12.6,8.3,83,275.3,2.3,5.9,4,1.259,77.5,1.9,84.9,63.8,68.5,38.3,23.3,7.9,2.6,5.1,0.3,76.2,22.4,4,22,20.3,28.5,53.4,8.6,37.1,14.2,9.3,14.1,70.5,0.6,9.8,30.2,30.6,62.1,84.5,14.7,6.2,87.2,70.9,34,23.4,,,4.4,28.2,6.6,1.2,510,11.4,9,3.8,,3.4,100,26.2,5.7,2,26.4,6.3,35702,0.153,18.2,18.2,10.8,6513,6650,,2972,316.2,231,333,60.7,16.8,13.3,0.303,13.9,17,7.6,623347,7.4,3.5,4.5,202,39.2,61.7,54.9,68.4,56.2
Pennsylvania,14.6,8.5,28.6,10.2,7.8,-0.149,16.8,7.9,22.1,10.3,80.3,481.9,3.2,7.3,3,0.807,77.5,1.5,85,60.9,68.1,39.2,20.2,11.4,3.6,7.1,0.5,75.2,34.6,5.3,39,18.8,21.8,50.1,9.9,39.7,14.2,10.8,7,67.1,-0.185,7.4,33.3,33.5,56.3,86.5,15.6,5.4,89,68.4,33,28.9,5.5,1,4.73,35.5,8.4,2.1,242.5,9.1,11.3,5.3,4.9,4.3,0,31.5,3.9,2.8,21.6,7.7,35804,-0.477,24.5,20.5,11.9,7672,7889,1.5,3943,292.5,83,27593855,20.9,14.5,15.8,0.093,8.2,14.5,13.3,12783254,7.2,4.6,5.8,306,36.8,62.4,54.6,70.2,55.7
Connecticut,12.1,7.3,22.4,10.6,7.6,0.733,14.3,7.4,19.2,6.9,84,428.9,2,5.3,4,1.184,77.3,1.6,83.5,72.9,73.2,38,17.7,9.5,3.4,3.6,0.1,78.3,34,4.5,25,16.3,26.1,54,11.8,40.1,12.6,8.4,11.3,66.9,0.663,6,30.9,34.5,61.8,88.5,13.4,6.5,91.9,65,47.5,26.6,4.2,0.6,5.26,32.1,7.8,1.9,449.3,6.9,7.6,2.6,4.5,3.6,0,29.2,3.3,2.7,22.7,6.5,45359,-0.06,20.6,20.2,10.4,6151,6093,1.2,3726,287.5,126,6686972,11.8,17.7,11.8,0.358,6.1,11.9,7.7,3557006,6.6,5.4,5.9,184,35.3,60.3,54,66.6,89.5
Delaware,15.5,8.2,26.7,10.8,9.3,-0.177,14.3,7.4,21.6,9.8,86,602.2,3.5,6.2,4,0.546,77.2,1.8,83,39.6,64.5,40.4,15.6,12.4,6,6.1,0,80.7,46.2,4.5,45,15.9,23.8,48.7,9.9,32.5,12.3,10.5,8.4,63.2,-0.069,5.9,36.4,35.4,55.2,89,7.6,6.4,90.6,70.3,33.3,15.1,7.5,2.5,4.41,33.2,9.4,1.9,299,7.7,10.5,5.4,5.5,4.9,100,36.5,4.6,3.9,23,6.8,36858,0.211,24.7,20.7,11.1,8342,8299,1.2,4378,296.2,152,1513402,17.6,14.6,15.1,0.474,9.2,11.4,14.9,986809,8.7,4.7,6.6,423,34.2,59.8,51.8,67.7,85.9
